,상호,계,업종,주소,거리
48,토속상황삼계탕,84,일반음식점,"경기 성남시 분당구 대왕판교로 670 (삼평동,유스페이스2 2층225호)",3분
49,부대집 (주)마켓빌더즈코리아,78,일반음식점,"경기 성남시 분당구 대왕판교로 670, 유스페이스2, ,2층 224호 (삼평동)",3분
50,다루마,77,일반음식점,"경기 성남시 분당구 판교역로 240, 지하1호 B123호 (삼평동,삼환하이펙스A동)",5분
51,서경,75,일반음식점,"경기 성남시 분당구 판교역로 240, 삼환하이펙스 A동 지하1층 B104호 (삼평동)",2분
52,숯불재벌장어,74,일반음식점,"경기 성남시 분당구 대왕판교로 660, 유스페이스1 103-1,103-2 (삼평동)",2분
53,뉴포커리,74,서양식전문점,"경기 성남시 분당구 판교역로 231, S동 123호 (삼평동,에이치스퀘어)",4분
54,가장맛있는족발,74,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층143,155,156호,유스페이스1, (삼평동)",6분
55,서울전통육개장판교점,69,한식,"경기 성남시 분당구 판교역로 240-0,지하1층 108-1호 (삼평동,삼환하이 ",2분
56,평가옥,68,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 102호 (삼평동,유스페이스1)",2분
57,이츠,68,일식전문점,"경기 성남시 분당구 판교역로 231, S동 223호 (삼평동,에이치스퀘어 에스동)",4분
58,오덮,66,일반음식점,"경기 성남시 분당구 판교역로 240, A동 지하1층 B114-1호  (삼평동,삼환하이펙스)",2분
59,외고집설렁탕,65,한식,"경기 성남시 분당구 판교역로 240, 에이-204 삼평동.삼환하이펙스",2분
60,비어팩토리판교점,65,일반주점,"경기 성남시 분당구 대왕판교로 670, 지하109,110호 (삼평동,유스페이스2)",3분
61,옛날그집,64,일반음식점,"경기 성남시 분당구 판교역로 240, 삼환하이펙스A동 지하1층B108호 (삼평동)",4분
62,됐소,64,일반음식점,"경기 성남시 분당구 대왕판교로 670,(유스페이스2지하1층B101호)(삼평동)",
63,더탭하우스,64,일반주점,"경기 성남시 분당구 판교역로 235, 1층 120호 (삼평동,에이치스퀘어 엔동)",
64,재크와콩나물,63,일반음식점,"경기 성남시 분당구 판교역로 231, (에이치스퀘어 에스동 지하1층B111호) (삼평동)",
65,더집밥,63,일반음식점,"경기 성남시 분당구 판교역로 240, A동 지하1층 103호 (삼평동,삼환하이팩스)",
66,홍대돈부리판교,60,일식,"경기 성남시 분당구 판교역로 231, 128호 (삼평동, 에이치스퀘어)",
67,달맞이국밥,60,일반음식점,"경기 성남시 분당구 판교역로 240, A동 B117호 (삼평동,삼환하이펙스)",
68,돌담촌,58,일반음식점,"경기 성남시 분당구 판교역로 230, (삼환하이펙스B동2층212호,213호,214호) (삼평동)",
69,고점자 부추칼국수만두,58,한식,"경기 성남시 분당구 판교역로 231, S동 1층 127호 (삼평동,에이치스퀘어 에스동)",
70,계란집,57,한식,"경기 성남시 분당구 판교역로 230, b동 지하1층 b-107 (삼평동)",
71,밥볶다 (동판교점),56,일반음식점,"경기 성남시 분당구 판교역로 240, 지하1층 B115, B115-1호 (삼평동,삼환하이펙스A동)",
72,(주)심스푸드,53,한식,경기 성남시 분당구 삼평동 680 에이치스퀘어에스블록1층110호-111호,
73,푸드빌리지판교점,52,일식전문점,"경기 성남시 분당구 판교로 185,3층(판교동)",
74,치킨마루(판교테크노밸리점),52,일반음식점,"경기 성남시 분당구 판교역로 235,(에이치스퀘어엔동1층101호)(삼평동)",
75,브루클린,48,일반음식점 기타,"경기 성남시 분당구 대왕판교로 670, A동 107호 (삼평동,유스페이스2)",
76,끌리마,48,일반음식점,"경기 성남시 분당구 판교역로 235, N동 119호 (삼평동,에이치스퀘어)",
77,이가네양꼬치,47,중식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 212호 (삼평동,유스페이스1)",
78,스타차이나판교점엠비즈(주),47,중식전문점,"경기 성남시 분당구 판교로319번길 13 (삼평동,디테라스1층 104호,105호,106호)",
79,하나스시,45,일식/생선회집,"경기 성남시 분당구 판교역로 240, A-208 삼평동.하이펙스",
80,짝태앤노가리 판교점,45,일반주점,"경기 성남시 분당구 대왕판교로 670, 1층 125호 (삼평동,유스페이스2)",
81,원그릴드,45,한식,"경기 성남시 분당구 대왕판교로 660, 104(삼평동,유스페이스1)",
82,시암,45,일반음식점,"경기 성남시 분당구 판교역로 231 (삼평동,에스동 2층 224호, 225호)",
83,레이호우,45,중국식,"경기 성남시 분당구 판교역로 231, 에스동 1층 122호 에이치스퀘어 (삼평동, 에이치스퀘어)",
84,디초콜릿판교점,44,일반음식점,"경기 성남시 분당구 삼평동 670번지 유스페이스1 238호,240호",
85,다니엘스,44,한식,"경기 성남시 분당구 판교역로 230, 삼환하이펫스비동제1층103호 (삼평동)",
86,회-머구리,43,일식전문점,"경기 성남시 분당구 대왕판교로 670, 유스페이스2 B동212호,213호 (삼평동)",
87,짝태패밀리,43,일반주점,"경기 성남시 분당구 대왕판교로 670, 1층 127호 (삼평동,유스페이스2)",
88,오복미역,43,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층231,232,233호 유스페이스1 (삼평동)",
89,단지,43,일반음식점,"경기 성남시 분당구 판교역로 230, B동 지하1층 B110호 삼환하이팩스 (삼평동)",
90,킹콩부대찌개 동판교점,41,일반음식점,"경기 성남시 분당구 판교역로 240, A동 2층 207호 (삼평동,삼환하이펙스)",
91,깐부치킨판교테크노벨리점,41,치킨전문점,"경기 성남시 분당구 판교역로 235, 105,106호 (삼평동,H스퀘어 엔동)",
92,호토모토분당내수점,39,일식전문점,"경기 성남시 분당구 백현로101번길20, 106호 (수내동,그린프라자빌딩) ",
93,날마다웃는집오징어랑,39,한식,"경기 성남시 분당구 판교역로 230, B동 지하1층 B-123호 (삼평동)",
94,야끼화로(판교점),38,일반음식점,"경기 성남시 분당구 판교역로241번길 22,엠타워1층104호, 105호, 106호(삼평동)",
95,소호정,38,한식,경기 성남시 분당구 삼평동 682번지 유스페이스2관지하1층B117호,
96,북청집,36,일반음식점,"경기 성남시 분당구 판교역로 230 (삼평동,삼환하이펙스 B동 지하1층 B104호, B105호)",
97,탄탄면공방 판교테크노밸리점,35,일반음식점,"경기 성남시 분당구 판교역로 240, A동 121호 (삼평동,,삼환하이펙스A동)",
98,스시쿤판교,35,일식전문점,"경기 성남시 분당구 대왕판교로 660, 1동 B115호 (삼평동,유스페이스1)",
99,판교문어집,34,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 122호 (삼평동,유스페이스1)",
